town,episcopal_church,episcopal_church_info,event,type,year,more_info,long,lat,start_year,end_year
Spirit Lake,St. Alban's,,Spirit Lake Massacre,Town,1857 (March 8-12),Spirit Lake Massacre: band of Sioux Indians led by Inkpaduta attacked and killed over 30 white people on the spot,-95.1,43.42,1857,1857
Spirit Lake,St. Alban's,,Spirit Lake Massacre,Town,1895,Commemorated by a monument built at nearby Arnolds Park,-95.14064,43.365449,1895,1895
Orange City,Savior,,Founded,Town,1870,"Founded by settlers from Pella, Iowa looking for cheaper & better land",-96.058889,43.005556,1870,1870
Orange City,Savior,,Population,Town,1880-1890,"Population rose from 320 to 1,246 within 10 years (289% increase)",-96.058889,43.005556,1880,1890
Orange City,Savior,,Church,Church,1871,First Reformed Church,-96.058988,43.01037,1871,1871
Orange City,Savior,,Church,Church,1871,Christian Reformed Church,-96.06008,43.00243,1871,1871
Orange City,Savior,,Church,Church,1885,American Reformed Church,-96.05628,43.002073,1885,1885
Orange City,Savior,,Church,Church,,Trinity Reformed Church,-96.035916,43.004021,,
Orange City,Savior,,Church,Church,,Faith Lutheran Church,-96.048541,42.996883,,
Orange City,Savior,,Church,Church,,Redeemer and Dover Alliance Churches,-96.038296,43.003337,,
Storm Lake,All Saints',,First visitor,Person,1812,First white person to visit the area was a Scotsman from northern MN who established a fur trade route to St. Louis from Manitoba,-95.201944,42.643611,1812,1812
Storm Lake,All Saints',,First settler ,Person,1856,First settler arrived (Abner Bell who was a trapper and hunter),-95.201944,42.643611,1856,1856
Storm Lake,All Saints',,Settlement,Town,1860s,Small settlement arose on the South West shore of the lake,-95.201944,42.643611,1860,1869
Storm Lake,All Saints',,Railroad ,Town,1870,Railroad officially came to the town (Storm Lake was officially established on the North Shore of the lake),-95.201944,42.643611,1870,1870
Le Mars ,St. George's,,First settlers,Town,1850s,White settlers arrived to the region now known as Plymouth County,-96.165833,42.788889,1850,1859
Le Mars ,St. George's,,Founded,Town,1853,Plymouth County was organized and started with 2 townships,-96.165833,42.788889,1853,1853
Le Mars ,St. George's,,Population,Town,1890,Le Mars was listed as the 4th fastest growing city in Iowa (grew to 4000 residents within 2 decades),-96.165833,42.788889,1890,1890
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,Land,Town,1700s,Sioux City was inhabited by Yankton Sioux when it was first reached by Spanish & French furtraps,-96.395556,42.498056,1700,1799
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,Lewis and Clark Expedition,Town,1804,"Lewis and Clark expedition traveled up the Missouri & set-up camp near what would become Sioux City. At the time of Lewis and Clark, the Omaha tribe of Native Americans were present just downstream from this region, and the Yankton Sioux were upstream",-96.395556,42.498056,1804,1804
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,Established,Town,1854,Sioux City was established by Dr. John K. Cook,-96.395556,42.498056,1854,1854
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,Railroad ,Town,1868,Railroad first arrived (about the time when a few small factories opened),-96.395556,42.498056,1868,1868
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,Floyd Monument,Town,1901,Floyd Monument was completed to honor Sgt. Charles Floyd who died while exploring the region in 1804,-96.377522,42.462569,1901,1901
Sioux City,"Calvary, St. Paul’s, St. Thomas’",,War Eagle,Person,1785-1851,"Indian leader who befriended Sioux City's early settlers
- Born a Santee Sioux in 1785 --> eventually deserted his own tribe and was adopted into the Yankton tribe 
- Because of his daring and leadership, he was elected chief of the Yankton Sioux but he established and maintained a good feeling among the Yanktons for the early white traders 
- Refused to send his warriors on attacks against whites or join the warring Indians 
- Met and became good friends with Theophile Bruguier, a well-educated trader who came from Canada and was one of the first white traders in Sioux City 
- Bruguier found a fascination w/ Indian life and culture --> deserted the white man's civilization and joined the Sioux tribe --> married the chief's daughter & lived the Indian lifestyle 
- 1851: Became ill and died in Bruguier's cabin 
- White settlers retained the name of the Indian tribe led by War Eagle during his many contributions to peace and called the area Sioux City ",-96.475194,42.496667,1785,1851
Muscatine,Trinity,,"Alexander Clark, Sr. ",Person,1826-1891,"A successful barber and real estate investor in Muscatine refused to accept these “black codes” and led a petition to the legislature to repeal them
- Also headed the movement for the right to vote, which succeeded in 1868, the same year that he won his suit to have his daughter, Susan, admitted to the white school",-91.056111,41.423889,1826,1891
Dubuque,St. John's,,Land,Town,,"Iowa’s oldest city & is among the oldest settlements west of the Mississippi River
- Mesquakie (Fox) Indians occupied the region at the time",-90.69,42.5,,
Dubuque,St. John's,,Julien Dubuque,Person,1762-1810,"Julien Dubuque (French-Canadian fur trader) was the first permanent settler 
- Indians kept the locations of the mines a secret bc they knew how important lead was to Europeans → eventually led Julien Dubuque to the locations once a close relationship was developed while trading fur 
- Julien was eventually given control of the mines after working together to mine the lead with the Mesquakie (operated until his death in 1810)",-90.69,42.5,1762,1810
Dubuque,St. John's,,Black Hawk Purchase Treaty,Town,1833,"Land was opened up for settlement by the US Government under the Black Hawk Purchase Treaty
- The Black Hawk Purchase was a land acquisition made in what is now Iowa by the United States federal government.
- The land originally owned by the SAUK AND FOX, and Ho-Chunk (WINNEBAGO) was acquired by treaty following their defeat by the United States in the Black Hawk War. The purchase was made for $640,000 on September 21, 1832 and was named for the chief Black Hawk. He was held prisoner at the time the purchase was completed. The Black Hawk Purchase contained an area of some 6 million acres and the price was equivalent to 11 cents per acre.",-90.4,41.9,1833,1833
Dubuque,St. John's,,Town,Town,1837,"Came to be known as the city of Dubuque
- Location of Dubuque (to Mississippi & abundant land/resources) attracted lots of immigrants, particularly Irish and Germans, from overcrowded cities on east coast 
- Referred to as the “Key City” -- the place in which the door to dreams of a better life opened 
- Settlers were known for mining and fur-trading, but later flourished in the industries of button making, boat building, logging, mill working meatpacking, and other heavy industries ",-90.69,42.5,1837,1837
Maquoketa ,St. Mark's,,Land,Town,,"Name derived from the Indian language “Bear River” - Stream was known by the Indians as maquaweutaw meaning “there are bears”.
- At that time, there were a great number of bears which inhabited its banks, and the streams which fed the river. The name was later to became half-Americanized
- Known as the “Timber City” since about 1870 because of the many trees that line the streets",-90.666111,42.066944,,
Maquoketa ,St. Mark's,,First settlers,Person,1838,"J. E. Goodenow and Lyman Bates from upper New York state headed west with a wagonload of trade goods. They crossed the frozen Mississippi River and settled at the future site of Maquoketa, in the east-central region of Iowa.",-90.666111,42.066944,1838,1838
Maquoketa ,St. Mark's,,Town,Town,,Town officially became “Maquoketa”,-90.666111,42.066944,,
Maquoketa ,St. Mark's,,Town,Town,,Town officially became incorporated,-90.666111,42.066944,,
Clinton,Christ,,Town,Town,,"Originally developed as individual cities along the Mississippi River but merged together over time (City of Lyons, the city of Clinton (originally called “New York”), and the hamlets of Ringwood and Chancy)",-90.207222,41.846944,,
